tool,contract,run,throughput,metric,runtime
confuzzius,multi10,7,94,tx / sec,1805.0
confuzzius,SpankchainLedgerChannel,6,72,tx / sec,1801.0
confuzzius,crowdsale,6,102,tx / sec,1801.0
confuzzius,IMBTC,5,45,tx / sec,1814.0
confuzzius,SpankchainLedgerChannel,4,68,tx / sec,1801.0
confuzzius,crowdsale,1,114,tx / sec,1801.0
confuzzius,multi10,3,92,tx / sec,1801.0
confuzzius,IMBTC,8,45,tx / sec,1803.0
confuzzius,SpankchainLedgerChannel,5,65,tx / sec,1803.0
confuzzius,multi10,10,93,tx / sec,1801.0
confuzzius,SpankchainLedgerChannel,9,64,tx / sec,1802.0
confuzzius,IMBTC,3,42,tx / sec,1815.0
confuzzius,SpankchainLedgerChannel,3,72,tx / sec,1802.0
confuzzius,IMBTC,9,49,tx / sec,1814.0
confuzzius,multi10,9,92,tx / sec,1804.0
confuzzius,crowdsale,10,94,tx / sec,1802.0
confuzzius,crowdsale,2,113,tx / sec,1802.0
confuzzius,crowdsale,5,110,tx / sec,1802.0
confuzzius,IMBTC,1,46,tx / sec,1828.0
confuzzius,IMBTC,2,38,tx / sec,1805.0
confuzzius,multi10,4,93,tx / sec,1803.0
confuzzius,crowdsale,3,114,tx / sec,1804.0
confuzzius,IMBTC,4,41,tx / sec,1813.0
confuzzius,SpankchainLedgerChannel,8,75,tx / sec,1803.0
confuzzius,SpankchainLedgerChannel,1,65,tx / sec,1803.0
confuzzius,IMBTC,7,46,tx / sec,1803.0
confuzzius,multi10,5,92,tx / sec,1802.0
confuzzius,crowdsale,8,109,tx / sec,1802.0
confuzzius,IMBTC,6,44,tx / sec,1801.0
confuzzius,crowdsale,9,109,tx / sec,1802.0
confuzzius,SpankchainLedgerChannel,2,72,tx / sec,1802.0
confuzzius,multi10,6,90,tx / sec,1803.0
confuzzius,crowdsale,7,98,tx / sec,1801.0
confuzzius,SpankchainLedgerChannel,10,71,tx / sec,1803.0
confuzzius,multi10,1,95,tx / sec,1802.0
confuzzius,IMBTC,10,38,tx / sec,1822.0
confuzzius,SpankchainLedgerChannel,7,70,tx / sec,1802.0
confuzzius,crowdsale,4,109,tx / sec,1801.0
confuzzius,multi10,8,92,tx / sec,1801.0
confuzzius,multi10,2,93,tx / sec,1802.0
echidna,SpankchainLedgerChannel,10,21.860542335362478,testcase / sec,1807.0
echidna,multi10,2,200.51138256524152,testcase / sec,1801.0
echidna,crowdsale,3,471.28039977790115,testcase / sec,1801.0
echidna,multi10,4,223.68017767906719,testcase / sec,1801.0
echidna,crowdsale,9,481.58300943920045,testcase / sec,1801.0
echidna,IMBTC,8,53.44905869324474,testcase / sec,1806.0
echidna,IMBTC,2,56.09191583610188,testcase / sec,1806.0
echidna,crowdsale,5,460.9017212659634,testcase / sec,1801.0
echidna,crowdsale,4,493.7345918933926,testcase / sec,1801.0
echidna,multi10,3,205.31704608550805,testcase / sec,1801.0
echidna,SpankchainLedgerChannel,7,20.79092920353982,testcase / sec,1808.0
echidna,crowdsale,8,482.8611882287618,testcase / sec,1801.0
echidna,multi10,7,208.43087173792338,testcase / sec,1801.0
echidna,SpankchainLedgerChannel,2,22.345685840707965,testcase / sec,1808.0
echidna,IMBTC,5,42.261351052048724,testcase / sec,1806.0
echidna,multi10,8,210.27484730705163,testcase / sec,1801.0
echidna,IMBTC,6,47.151162790697676,testcase / sec,1806.0
echidna,crowdsale,10,465.106052193226,testcase / sec,1801.0
echidna,crowdsale,2,452.20655191560246,testcase / sec,1801.0
echidna,SpankchainLedgerChannel,8,20.31765356945213,testcase / sec,1807.0
echidna,multi10,10,213.05219322598558,testcase / sec,1801.0
echidna,multi10,1,209.32981676846197,testcase / sec,1801.0
echidna,IMBTC,4,47.652270210409746,testcase / sec,1806.0
echidna,SpankchainLedgerChannel,6,21.83222591362126,testcase / sec,1806.0
echidna,SpankchainLedgerChannel,4,22.174682144831397,testcase / sec,1809.0
echidna,SpankchainLedgerChannel,3,21.37112831858407,testcase / sec,1808.0
echidna,IMBTC,9,50.77421140011068,testcase / sec,1807.0
echidna,IMBTC,10,47.30287929125139,testcase / sec,1806.0
echidna,crowdsale,1,497.3303720155469,testcase / sec,1801.0
echidna,IMBTC,3,48.245022123893804,testcase / sec,1808.0
echidna,crowdsale,6,476.5130483064964,testcase / sec,1801.0
echidna,IMBTC,7,47.55063641394577,testcase / sec,1807.0
echidna,crowdsale,7,472.29261521377015,testcase / sec,1801.0
echidna,SpankchainLedgerChannel,1,21.56028761061947,testcase / sec,1808.0
echidna,SpankchainLedgerChannel,9,20.549529607083564,testcase / sec,1807.0
echidna,multi10,5,206.0788450860633,testcase / sec,1801.0
echidna,SpankchainLedgerChannel,5,21.640841173215275,testcase / sec,1807.0
echidna,IMBTC,1,51.05085682697623,testcase / sec,1809.0
echidna,multi10,6,218.47640199888951,testcase / sec,1801.0
echidna,multi10,9,218.4364242087729,testcase / sec,1801.0
